territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,district_code,district_name,region
LOCAL-090800,090800,90800,Manteigas,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-090900,090900,90900,Mêda,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-091000,091000,91000,Pinhel,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-091100,091100,91100,Sabugal,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-091200,091200,91200,Seia,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-091300,091300,91300,Trancoso,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-091400,091400,91400,Vila Nova de Foz Côa,concelho,6,LOCAL-090000,090000,Guarda,LOCAL-090000,Guarda,Centro
LOCAL-100100,100100,100100,Alcobaça,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-100200,100200,100200,Alvaiázere,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-100300,100300,100300,Ansião,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-100400,100400,100400,Batalha,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-100500,100500,100500,Bombarral,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-100600,100600,100600,Caldas da Rainha,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-100700,100700,100700,Castanheira de Pêra,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-100800,100800,100800,Figueiró dos Vinhos,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-100900,100900,100900,Leiria,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-101000,101000,101000,Marinha Grande,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-101100,101100,101100,Nazaré,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-101300,101300,101300,Pedrógão Grande,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-101400,101400,101400,Peniche,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-101500,101500,101500,Pombal,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-101600,101600,101600,Porto de Mós,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-101200,101200,101200,Óbidos,concelho,6,LOCAL-100000,100000,Leiria,LOCAL-100000,Leiria,Centro
LOCAL-110100,110100,110100,Alenquer,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-111500,111500,111500,Amadora,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110200,110200,110200,Arruda dos Vinhos,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110300,110300,110300,Azambuja,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110400,110400,110400,Cadaval,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110500,110500,110500,Cascais,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
LOCAL-110600,110600,110600,Lisboa,concelho,6,LOCAL-110000,110000,Lisboa,LOCAL-110000,Lisboa,Área Metropolitana de Lisboa
