territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,district_code,district_name,municipality_code,municipality_name,parish_code,parish_name,region
LOCAL-050500,050500,50500,Idanha-a-Nova,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-050500,Idanha-a-Nova,,,Centro
LOCAL-050600,050600,50600,Oleiros,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-050600,Oleiros,,,Centro
LOCAL-050700,050700,50700,Penamacor,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-050700,Penamacor,,,Centro
LOCAL-050800,050800,50800,Proença-a-Nova,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-050800,Proença-a-Nova,,,Centro
LOCAL-050900,050900,50900,Sertã,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-050900,Sertã,,,Centro
LOCAL-051100,051100,51100,Vila Velha de Ródão,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-051100,Vila Velha de Ródão,,,Centro
LOCAL-051000,051000,51000,Vila de Rei,concelho,6,LOCAL-050000,Castelo Branco,LOCAL-051000,Vila de Rei,,,Centro
LOCAL-060100,060100,60100,Arganil,concelho,6,LOCAL-060000,Coimbra,LOCAL-060100,Arganil,,,Centro
LOCAL-060200,060200,60200,Cantanhede,concelho,6,LOCAL-060000,Coimbra,LOCAL-060200,Cantanhede,,,Centro
LOCAL-060300,060300,60300,Coimbra,concelho,6,LOCAL-060000,Coimbra,LOCAL-060300,Coimbra,,,Centro
LOCAL-060400,060400,60400,Condeixa-a-Nova,concelho,6,LOCAL-060000,Coimbra,LOCAL-060400,Condeixa-a-Nova,,,Centro
LOCAL-060500,060500,60500,Figueira da Foz,concelho,6,LOCAL-060000,Coimbra,LOCAL-060500,Figueira da Foz,,,Centro
LOCAL-060600,060600,60600,Góis,concelho,6,LOCAL-060000,Coimbra,LOCAL-060600,Góis,,,Centro
LOCAL-060700,060700,60700,Lousã,concelho,6,LOCAL-060000,Coimbra,LOCAL-060700,Lousã,,,Centro
LOCAL-060800,060800,60800,Mira,concelho,6,LOCAL-060000,Coimbra,LOCAL-060800,Mira,,,Centro
LOCAL-060900,060900,60900,Miranda do Corvo,concelho,6,LOCAL-060000,Coimbra,LOCAL-060900,Miranda do Corvo,,,Centro
LOCAL-061000,061000,61000,Montemor-o-Velho,concelho,6,LOCAL-060000,Coimbra,LOCAL-061000,Montemor-o-Velho,,,Centro
LOCAL-061100,061100,61100,Oliveira do Hospital,concelho,6,LOCAL-060000,Coimbra,LOCAL-061100,Oliveira do Hospital,,,Centro
LOCAL-061200,061200,61200,Pampilhosa da Serra,concelho,6,LOCAL-060000,Coimbra,LOCAL-061200,Pampilhosa da Serra,,,Centro
LOCAL-061300,061300,61300,Penacova,concelho,6,LOCAL-060000,Coimbra,LOCAL-061300,Penacova,,,Centro
LOCAL-061400,061400,61400,Penela,concelho,6,LOCAL-060000,Coimbra,LOCAL-061400,Penela,,,Centro
LOCAL-061500,061500,61500,Soure,concelho,6,LOCAL-060000,Coimbra,LOCAL-061500,Soure,,,Centro
LOCAL-061600,061600,61600,Tábua,concelho,6,LOCAL-060000,Coimbra,LOCAL-061600,Tábua,,,Centro
LOCAL-061700,061700,61700,Vila Nova de Poiares,concelho,6,LOCAL-060000,Coimbra,LOCAL-061700,Vila Nova de Poiares,,,Centro
