territory_code_full,territory_code_numeric,territory_code_ine,name,level,level_code,parent_code,parent_code_numeric,parent_name,municipality_code,municipality_name,district_code,district_code_numeric,district_name,region
LOCAL-010914,010914,010914,Milheirós de Poiares,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010916,010916,010916,Mozelos,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010917,010917,010917,Nogueira da Regedoura,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010919,010919,010919,Paços de Brandão,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010921,010921,010921,Rio Meão,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010922,010922,010922,Romariz,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010924,010924,010924,Sanguedo,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010935,010935,010935,"Santa Maria da Feira, Travanca, Sanfins e Espargo",freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010925,010925,010925,Santa Maria de Lamas,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010926,010926,010926,São João de Ver,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010936,010936,010936,São Miguel de Souto e Mosteirô,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-010918,010918,010918,São Paio de Oleiros,freguesia,7,LOCAL-010900,010900,Santa Maria da Feira,LOCAL-010900,Santa Maria da Feira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011710,011710,011710,Cedrim e Paradela,freguesia,7,LOCAL-011700,011700,Sever do Vouga,LOCAL-011700,Sever do Vouga,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011702,011702,011702,Couto de Esteves,freguesia,7,LOCAL-011700,011700,Sever do Vouga,LOCAL-011700,Sever do Vouga,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011704,011704,011704,Pessegueiro do Vouga,freguesia,7,LOCAL-011700,011700,Sever do Vouga,LOCAL-011700,Sever do Vouga,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011705,011705,011705,Rocas do Vouga,freguesia,7,LOCAL-011700,011700,Sever do Vouga,LOCAL-011700,Sever do Vouga,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011706,011706,011706,Sever do Vouga,freguesia,7,LOCAL-011700,011700,Sever do Vouga,LOCAL-011700,Sever do Vouga,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011711,011711,011711,Silva Escura e Dornelas,freguesia,7,LOCAL-011700,011700,Sever do Vouga,LOCAL-011700,Sever do Vouga,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011708,011708,011708,Talhadas,freguesia,7,LOCAL-011700,011700,Sever do Vouga,LOCAL-011700,Sever do Vouga,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011601,011601,011601,São João da Madeira,freguesia,7,LOCAL-011600,011600,São João da Madeira,LOCAL-011600,São João da Madeira,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011801,011801,011801,Calvão,freguesia,7,LOCAL-011800,011800,Vagos,LOCAL-011800,Vagos,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011812,011812,011812,Fonte de Angeão e Covão do Lobo,freguesia,7,LOCAL-011800,011800,Vagos,LOCAL-011800,Vagos,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011804,011804,011804,Gafanha da Boa Hora,freguesia,7,LOCAL-011800,011800,Vagos,LOCAL-011800,Vagos,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011805,011805,011805,Ouca,freguesia,7,LOCAL-011800,011800,Vagos,LOCAL-011800,Vagos,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011813,011813,011813,Ponte de Vagos e Santa Catarina,freguesia,7,LOCAL-011800,011800,Vagos,LOCAL-011800,Vagos,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011810,011810,011810,Santo André de Vagos,freguesia,7,LOCAL-011800,011800,Vagos,LOCAL-011800,Vagos,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011807,011807,011807,Sosa,freguesia,7,LOCAL-011800,011800,Vagos,LOCAL-011800,Vagos,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011814,011814,011814,Vagos e Santo António,freguesia,7,LOCAL-011800,011800,Vagos,LOCAL-011800,Vagos,LOCAL-010000,010000,Aveiro,Centro
LOCAL-011901,011901,011901,Arões,freguesia,7,LOCAL-011900,011900,Vale de Cambra,LOCAL-011900,Vale de Cambra,LOCAL-010000,010000,Aveiro,Centro
